// Improperly altering this file can cause SolarMax to malfunction

// Baseline Date
2011/03/01 12:00:00

// Name, X, Y, Z, VX, VY, VZ
Sun,0,0,0,0,0,0
Moon,-1.394095037075846E+08,  4.940664854338912E+07,  1.804518610892445E+04, -9.651575687237051E+00, -2.766779959200965E+01,  7.399859820219667E-02
Mercury, 5.366366723136564E+07, -5.585123641970240E+06, -5.380298548446599E+06, -4.375397367024768E+00,  5.063351279548552E+01,  4.538473637363118E+00
Venus,-6.267829696107297E+07, -8.836979235460892E+07,  2.406693191759437E+06,  2.832154391817632E+01, -2.042224162009071E+01, -1.914300345170580E+00
Earth,-1.396282622466395E+08,  4.974001842588504E+07, -1.191361760187894E+03, -1.049044082561659E+01, -2.818082191027083E+01, -1.054148864234605E-04

// RESULTS WITH 12 SEC INT TIME
// 12:00  Earth,-139627625.93745792,49739620.80134628, -1191.5164213483281,-10.489628239348711,-28.181270048028384,-0.00010577170220028945
// 12:10  Earth,-139633918.68699643,49722711.669822425,-1191.579608140205,-10.486203529657526,-28.18250162537106,-0.0001048506188723085
// 12:02  Earth,-139628884.65175089,49736239.034159325,-1191.5291029095035,-10.488943310047604,-28.181516398412057,-0.00010558763891212056
// 12:01  Earth,-139628255.30487829,49737929.921448059,-1191.5227648898651,-10.489285775488097,-28.18139322540236,-0.0001056796801460013
// 12:01:10 rth,-139628360.19745052,49737648.1074136,-1191.523821608054,-10.489228698024329,-28.181413754540422,-0.00010566434127015874
// 12:01:03 rth,-139628286.77270925,49737845.377261087,-1191.5230819134902,-10.489268652253301,-28.181399384156649,-0.00010567507853070534
// 12:01:02 rth,-139628276.28343764,49737873.55865965,-1191.5229762367151,-10.489274359998541,-28.181397331239829,-0.00010567661240377221
// 12:01:01 rth,-139628265.79416037,49737901.740056165,-1191.5228705584095,-10.489280067743342,-28.181395278321805,-0.0001056781462715148

// 120 SEC INT TIME
// 12:01:01 rth,-139628265.79601735,49737901.736716948,-1191.5228078760244,-10.489280068939722,-28.181395276057422,-0.00010567821448794837

// 600 SEC INT TIME
// 12:00:00 rth,-139627625.98434904,49739620.716837652,-1191.5148399844852,-10.48962826955955,-28.1812699908406,-0.00010577342441054893
// 12:01:01 rth,-139628265.84105426,49737901.655548617,-1191.5212893102448,-10.489280097963389,-28.181395221136729,-0.00010567986927082676

// 120; RK4
// 12:00:00 rth,-139627625.93576115,49739620.805147253,-1191.5164720469711,-10.489628238823803,-28.181270049741489,-0.00010577165295840996

// JPL @ 12:00:00
// Actual Earth,-139628262.2466395E,49740018.42588504, -1191.361760187894, -10.49044082561659, -28.18082191027083, -0.0001054148864234605E-04

// 4/1 12:00
// 120; VV
// Earth 12:00,-146598964.49104229,-29187747.241723839,786.92397308656734,5.3322537611215068,-29.34034207136018,0.00063141616760766385
// Ea 12:01:01,-146598639.21267235,-29189537.000431813,786.96249419710261,5.3326109061493439,-29.340271678210271,0.00063157082438403394
// Ea 11:59:00,-146599284.41573176,-29185986.819110554,786.88609268764264,5.3319024700004389,-29.340411306080373,0.00063126404911693955
// Ea 11:55:00,
// JPL Earth,  -146604225.1336229, -29185883.36746934, 787.4485036339611, 5.329478803896920, -29.33990964725334,0.0006318697785552274,



Mars,1.807878837843289E+08, -1.000351533809475E+08, -6.535469355674282E+06,  1.265230753209881E+01,  2.327272127720493E+01,  1.769822921736814E-01
Jupiter,7.211527476712121E+08,  1.663423178519000E+08, -1.682875379161135E+07, -3.099858563280181E+00,  1.336670689049116E+01,  1.393816667896441E-02
Saturn,-1.400633254199759E+09, -3.134032740684584E+08,  6.120914760228500E+07,  1.587227563242875E+00, -9.438213553272730E+00,  1.016456550676259E-01
Uranus,3.004806162659091E+09,  8.984718935794119E+06, -3.888978713532435E+07, -7.260364078686082E-02,  6.502881220685105E+00,  2.503723211788866E-02
Neptune,3.819823395783952E+09, -2.359062533147300E+09, -3.943925665162289E+07,  2.818472317831322E+00,  4.666582254569658E+00, -1.615279534058911E-01
Pluto,4.460429042981355E+08, -4.749289526404739E+09,  3.793481412342055E+08,  5.496880086296756E+00, -5.633004597097196E-01, -1.542031539840132E+00
Ceres,3.169195662748025E+08, -3.046920345700632E+08, -6.790762409886456E+07,  1.154179461500920E+01,  1.181435960556133E+01, -1.758325681476297E+00
Haumea,-6.462868828873254E+09, -2.007318613931149E+09,  3.510985841596319E+09,  1.529153748269168E+00, -3.428490396533963E+00,  2.789830187036597E-01
Makemake,-6.830612096773633E+09,  4.041332386511905E+08,  3.763872414978746E+09, -5.496132014707380E-01, -3.757758766393454E+00, -8.445898616928948E-02
Eris, 1.306709477970743E+10,  5.179715197770452E+09, -3.363804783783207E+09, -5.476680189665509E-01,  1.611666708182842E+00,  1.560312838219251E+00
Vesta,-3.697254395646036E+07, -3.199462424970765E+08,  1.411546124355312E+07,  2.082819746374518E+01, -2.800762379098084E+00, -2.446370600130400E+00
Sedna,7.857427017937016E+09,  1.006784049662568E+10, -2.695547917393835E+09, -4.089312665496349E+00,  1.364768867681979E+00,  2.699513747033117E-01
Phobos,1.807938751026876E+08, -1.000415991903301E+08, -6.538668032722600E+06,  1.399138139301450E+01,  2.484410229318842E+01, -3.875104094928137E-01
Deimos, 1.807826979629660E+08, -1.000127533516048E+08, -6.530816308763407E+06,  1.147766129277685E+01,  2.288768547988256E+01,  7.225908152461944E-01
Io,7.207628713011296E+08,  1.661833584943505E+08, -1.683987838452592E+07,  3.527300178576105E+00, -2.672295713508814E+00, -4.729784772348341E-01
Europa, 7.207952383287553E+08,  1.657690099081793E+08, -1.685536578544145E+07,  8.440156513185583E+00,  6.100731932724050E+00, -1.926758683146055E-01
Ganymede,7.201187495596704E+08,  1.666251932044237E+08, -1.683120826285096E+07, -5.944266201567995E+00,  2.888770101249037E+00, -4.162006348790729E-01
Callisto,7.192617498874137E+08,  1.661969433432917E+08, -1.685865382022321E+07, -2.468114714090896E+00,  5.250006270589751E+00, -2.377908541545499E-01
Mimas,-1.400522663614886E+09, -3.135374585006405E+08,  6.127382054918889E+07,  1.285380933224212E+01, -2.215930763735807E+00, -4.988425249992013E+00
Enceladus,-1.400717073117778E+09, -3.132020158134496E+08,  6.111178081319938E+07, -1.014056923163176E+01, -1.293989221835184E+01,  3.070959844967564E+00
Tethys,-1.400916953049917E+09, -3.134629151282803E+08,  6.126186351539794E+07,  4.549799743702346E+00, -1.929153686269202E+01,  4.898330167894333E+00
Dione,-1.401008862853354E+09, -3.133617597913448E+08,  6.122402322123531E+07,  8.101184789144235E-01, -1.824563260366048E+01,  4.789951502764932E+00
