//Name, Mass (kg), Radius (km), X, Y, Z, VX, VY, VZ

// Date Jan 1, 2007 00:00:00

// Stars

Sun, 1.9891E+30, 6.96E+05, 0, 0, 0, 0, 0, 0

// PLANETS

Mercury, 3.302E+23, 2440,-4.805886965601466E+07,  2.189032066968738E+07,  6.198232916886831E+06, -3.022107555343033E+01, -4.226475176334793E+01, -6.802538712273662E-01
Venus, 48.685E+23, 6051.8, -8.049999407410532E+07,  7.099963444785571E+07,  5.618547770754423E+06, -2.329464239208604E+01, -2.644591196189182E+01,  9.821057288868431E-01
Earth, 5.9736E+24, 6371.01, -2.567030301930378E+07,  1.448508985971261E+08, -3.607762965627015E+03, -2.982651603443954E+01, -5.304542013817378E+00, -7.226846229160255E-04
Mars, 6.4185E+23, 3389.9, 8.560453194678910E+07, -1.931287968992638E+08, -6.148930682434097E+06,  2.306461556998571E+01,  1.189820905093515E+01, -3.170376170967559E-01
Jupiter, 1898.13E+24, 69911, 7.339462168063114E+08,  9.701813610000801E+07, -1.682718970158471E+07, -1.874591284908997E+00,  1.358426262434579E+01, -1.453841322266047E-02
Saturn, 5.68319E+26, 58232, -1.407959851110039E+09, -2.647134735208034E+08,  6.065314057900450E+07,  1.264353125585426E+00, -9.503061706225488E+00,  1.147964217067248E-01
Uranus, 86.8103E+24, 25362, 3.004982415799173E+09, -2.444563947966594E+07, -3.901612261568308E+07,  3.747271668208711E-03,  6.502975240993063E+00,  2.414868175141649E-02
Neptune, 102.41E+24, 24624, 3.805260709062757E+09, -2.383008424739055E+09, -3.861149638822520E+07,  2.848386773218827E+00,  4.649462873415265E+00, -1.614964415399069E-01

// DWARF PLANETS

Pluto, 1.314E+22, 1151, 4.177086171497295E+08, -4.746411203084515E+09,  3.872361077082222E+08,  5.529054713748423E+00, -5.671787741716194E-01, -1.548616115445614E+00
Ceres, 9.43E+20, 454.7, 2.516560055872892E+08, -3.589366960226353E+08, -5.757288988207991E+07,  1.377035430732789E+01,  9.210613774274270E+00, -2.250364372494757E+00
Haumea, 4.2E+21, 718, -6.470706593654352E+09, -1.989686002292333E+09,  3.509537787691371E+09,  1.520082389843418E+00, -3.431342999409926E+00,  2.843757150838893E-01
Makemake, 3.0E+21, 750, -6.827763767532066E+09,  4.234491103171110E+08,  3.764292772213437E+09, -5.585158206285552E-01, -3.756937833175675E+00, -7.907597967450353E-02
Eris, 1.67E+22, 1300, 1.306990032608202E+10,  5.171426429868268E+09, -3.371824032630499E+09, -5.438164968874407E-01,  1.613065032799700E+00,  1.559533780211787E+00
Vesta, 2.67E+20, 529, -1.402613350469638E+08, -2.891614790513000E+08,  2.573892796090360E+07,  1.900423922722461E+01, -9.070757829824895E+00, -2.036125567740334E+00

// MOONS

// Earth
Luna, 734.9E+20, 1737.53, -2.586501663441455E+07,  1.445259195488319E+08, -2.295369590413570E+04, -2.895849294818207E+01, -5.867519740768277E+00,  7.711959496316867E-02 

// Mars
Phobos, 1.08E+20, 11.1, 8.560133408522932E+07, -1.931202041826202E+08, -6.146904917315364E+06,  2.126875626808101E+01,  1.107428869328239E+01,  4.903048576812221E-01
Deimos, 1.8E+20, 6.0, 8.561593455876999E+07, -1.931086556154414E+08, -6.152719649885342E+06,  2.204668784617078E+01,  1.258169784263515E+01,  2.514524731052488E-01

// Jupiter
Io, 893.3E+20, 1821.3, 7.343276650366092E+08,  9.684211305220692E+07, -1.682825205583999E+07,  5.436399108826424E+00,  2.936603181025296E+01,  6.543527298450726E-01
Europa, 479.7E+20, 1565, 7.345046143969690E+08,  9.663550924066029E+07, -1.683850228136315E+07,  5.811513080936080E+00,  2.481769651385258E+01,  5.085556474660002E-01
Ganymede, 1482E+20, 2634, 7.346160553245587E+08,  9.785296981984882E+07, -1.678730924455236E+07, -1.034172532176980E+01,  2.040532436486138E+01,  1.349058953512365E-01
Callisto, 1076E+20, 2403, 7.357108253493457E+08,  9.640015877598317E+07, -1.682345143807803E+07,  8.339053271391306E-01,  2.138548449525187E+01,  2.718605121699911E-01

// Saturn
Mimas, 0.375E+20, 198.8,  -1.407996067470302E+09, -2.648720886018274E+08,  6.074078159530093E+07,  1.538402155505986E+01, -1.215512531278883E+01,  5.735713285194977E-01
